Category: All categories

Region,Birth control: (2018)
West Virginia,100
Mississippi,100
Alabama,96
Kentucky,92
Louisiana,90
Tennessee,87
Oklahoma,86
South Carolina,85
Arkansas,84
Pennsylvania,83
Indiana,83
Missouri,82
Delaware,82
North Carolina,82
Georgia,81
North Dakota,81
Texas,81
Ohio,81
New York,80
Rhode Island,80
Iowa,80
Wyoming,80
Michigan,79
Nebraska,78
Massachusetts,78
Maryland,78
Virginia,78
Idaho,78
Connecticut,77
Wisconsin,76
Illinois,75
South Dakota,75
Utah,75
Arizona,74
California,73
New Mexico,72
New Jersey,72
Kansas,72
Minnesota,71
Alaska,71
Colorado,70
Montana,70
Florida,70
Maine,70
Washington,70
New Hampshire,69
Nevada,69
Vermont,69
District of Columbia,69
Oregon,69
Hawaii,66
