Category: All categories,
,
Region,Teenage pregnancy: (2018)
Arkansas,100
Mississippi,90
Delaware,80
District of Columbia,79
Oregon,77
Kentucky,71
Oklahoma,70
South Carolina,68
Iowa,68
Missouri,68
Indiana,67
South Dakota,67
Nebraska,65
Minnesota,64
New Mexico,64
Maryland,64
Rhode Island,62
Illinois,60
North Carolina,60
Idaho,60
Wyoming,58
Maine,57
Virginia,56
Texas,56
Tennessee,55
Utah,54
Wisconsin,54
New Hampshire,54
New Jersey,54
Vermont,53
Arizona,53
Kansas,53
Alabama,52
Pennsylvania,52
Massachusetts,51
West Virginia,50
Nevada,50
Connecticut,50
Michigan,49
New York,48
Georgia,48
Louisiana,48
California,48
North Dakota,46
Ohio,45
Hawaii,45
Colorado,44
Florida,44
Washington,39
Alaska,39
Montana,31
